ve_ref,token_w_punct,token,lemma,syntax,modern_english,morphology
15.t1,þæt,þæt,þæt,c,that,indeclinable
15.t2,hīe,hīe,hie,p,they,npm
15.t3,ǣr,ǣr,ær,av,before,indeclinable
15.t4,drugon,drugon,dreogan,v,endure,p3p
15.t5,aldorlēase,aldorlēase,ealdorleas,a,lordless,npm
16.t1,lange,lange,long,a,long,asf
16.t2,hwīle.,hwīle,hwil,f,time,as
16.t3,Him,Him,he,p,he,dsm
16.t4,þæs,þæs,þæt,d,that,gsn
16.t5,līffrea,līffrea,lif-frea,m,lord of life,ns
17.t1,wuldres,wuldres,wuldor,n,glory,gs
17.t2,wealdend,wealdend,wealdend,m,ruler,ns
17.t3,woroldāre,woroldāre,worold-ar,f,worldly honour,as
17.t4,forgeaf:,forgeaf,forgifan,v,grant,p3s
18.t1,Bēow,Bēow,Beow,np,Beow,ns
18.t2,wæs,wæs,wesan,v,be,p3s
18.t3,brēme,brēme,breme,a,famous,nsm
18.t4,– blǣd,blǣd,blæd,m,fame,ns
18.t5,wīde,wīde,wide,av,widely,indeclinable
18.t6,sprang –,sprang,springan,v,spread,p3s
19.t1,Scyldes,Scyldes,Scyld,np,Scyld,gs
19.t2,eafera,eafera,eafora,m,son,ns
19.t3,Scedelandum,Scedelandum,Scede-land,np,Scandia,dp
19.t4,in.,in,in,pp,in,indeclinable
20.t1,Swā,Swā,swa,av,so,indeclinable
20.t2,sceal,sceal,sculan,v,should,pr3s
20.t3,geong,geong,geong,a,young,nsm
20.t4,guma,guma,guma,m,man,ns
20.t5,gōde,gōde,god,n,good actions,ds
20.t6,"gewyrcean,",gewyrcean,gewyrcan,v,bring about,i
21.t1,fromum,fromum,from,a,splendid,dpf
21.t2,feohgiftum,feohgiftum,feoh-gift,f,gift of treasure,dp
21.t3,on,on,on,pp,in,indeclinable
21.t4,fæder,fæder,fæder,m,father,gs
21.t5,"bearme,",bearme,bearm,m,possession,ds
22.t1,þæt,þæt,þæt,c,that,indeclinable
22.t2,hine,hine,he,p,he,asm
22.t3,on,on,on,pp,in,indeclinable
22.t4,ylde,ylde,yldo,f,old age,ds
22.t5,eft,eft,eft,av,afterwards,indeclinable
22.t6,gewunigen,gewunigen,gewunian,v,stand by,prc3p
23.t1,"wilgesīþas,",wilgesīþas,wil-gesið,m,close companion,np
23.t2,þonne,þonne,þonne,c,when,indeclinable
23.t3,wīg,wīg,wig,n,war,ns
23.t4,"cume,",cume,cuman,v,come,prc3s
24.t1,lēode,lēode,leod,m,man,np
24.t2,gelǣsten;,gelǣsten,gelæstan,v,serve,prc3p
24.t3,lofdǣdum,lofdǣdum,lof-dæd,f,praiseworthy deed,dp
24.t4,sceal,sceal,sculan,v,shall,pr3s
25.t1,in,in,in,pp,in,indeclinable
25.t2,mǣgþa,mǣgþa,mægþ,f,people,gp
25.t3,gehwǣre,gehwǣre,gehwa,p,every,dsf
25.t4,man,man,mon,m,one,ns
25.t5,geþeon.,geþeon,geþeon,v,prosper,i
26.t1,Him,Him,he,p,himself,dsm
26.t2,ðā,ðā,þa,av,then,indeclinable
26.t3,Scyld,Scyld,Scyld,np,Scyld,ns
26.t4,gewāt,gewāt,gewitan,v,depart,p3s
26.t5,tō,tō,to,pp,at,indeclinable
26.t6,gescæphwīle,gescæphwīle,gesceap-hwil,f,fated hour,ds
27.t1,felahrōr,felahrōr,fela-hror,a,very vigorous,nsm
27.t2,fēran,fēran,feran,v,go,i
27.t3,on,on,on,pp,in,indeclinable
27.t4,frēan,frēan,frea,m,Lord,gs
27.t5,wǣre.,wǣre,wær,f,keeping,as
28.t1,Hī,Hī,hie,p,they,npm
28.t2,hyne,hyne,he,p,he,asm
28.t3,þā,þā,þa,av,then,indeclinable
28.t4,ætbǣron,ætbǣron,ætberan,v,carry,p3p
28.t5,tō,tō,to,pp,to,indeclinable
28.t6,brimes,brimes,brim,n,sea,gs
28.t7,"faroðe,",faroðe,faroð,m,current,ds
29.t1,swǣse,swǣse,swæs,a,dear,npm
29.t2,"gesīþas,",gesīþas,gesið,m,companion,np
29.t3,swā,swā,swa,c,as,indeclinable
29.t4,hē,hē,he,p,he,nsm
29.t5,selfa,selfa,self,p,himself,nsm
29.t6,bæd,bæd,biddan,v,ask,p3s
30.t1,þenden,þenden,þenden,c,while,indeclinable
30.t2,wordum,wordum,word,n,word,dp
30.t3,wēold.,wēold,wealdan,v,wield,p3s
30.t4,Wine,Wine,wine,m,friend,ns
30.t5,"Scyldinga,",Scyldinga,Scyldingas,np,Scyldings,gp
31.t1,lēof,lēof,leof,a,dear,nsm
31.t2,landfruma,landfruma,land-fruma,m,prince of the land,ns
31.t3,lange,lange,longe,av,long,indeclinable
31.t4,āhte –,āhte,agan,v,possess,p3s
32.t1,þǣr,þǣr,þær,av,there,indeclinable
32.t2,æt,æt,æt,pp,in,indeclinable
32.t3,hȳðe,hȳðe,hyð,f,harbour,ds
32.t4,"stōd,",stōd,standan,v,stand,p3s
32.t5,hringedstefna,hringedstefna,hringed-stefna,m,ring-prowed ship,ns
33.t1,īsig,īsig,isig,a,icy,nsm
33.t2,ond,ond,ond,c,and,indeclinable
33.t3,ūtfūs –,ūtfūs,utfus,a,ready to set out,nsm
33.t4,æþelinges,æþelinges,æþeling,m,prince,gs
33.t5,fær;,fær,fær,n,vessel,as
34.t1,ālēdon,ālēdon,alecgan,v,lay down,p3p
34.t2,þā,þā,þa,av,then,indeclinable
34.t3,lēofne,lēofne,leof,a,dear,asm
34.t4,"þēoden,",þēoden,þeoden,m,lord,as
35.t1,bēaga,bēaga,beag,m,ring,gp
35.t2,bryttan,bryttan,brytta,m,dispenser,as
35.t3,on,on,on,pp,in,indeclinable
35.t4,bearm,bearm,bearm,m,bosom,as
35.t5,"scipes,",scipes,scip,n,ship,gs
36.t1,mǣrne,mǣrne,mære,a,famous,asm
36.t2,be,be,be,pp,by,indeclinable
36.t3,mæste.,mæste,mæst,m,mast,ds
36.t4,Þǣr,Þǣr,þær,av,there,indeclinable
36.t5,wæs,wæs,wesan,v,be,p3s
36.t6,mādma,mādma,maððum,m,treasure,gp
36.t7,fela,fela,fela,n,many,in
37.t1,of,of,of,pp,from,indeclinable
37.t2,feorwegum,feorwegum,feor-weg,m,distant land,dp
37.t3,frætwa,frætwa,frætwe,f,ornament,gp
37.t4,gelǣded.,gelǣded,lædan,v,bring,pp
38.t1,Ne,Ne,ne,av,not,indeclinable
38.t2,hȳrde,hȳrde,hyran,v,hear,p1s
38.t3,ic,ic,ic,p,I,ns
38.t4,cȳmlīcor,cȳmlīcor,cymlice,av,becomingly,c
38.t5,cēol,cēol,ceol,m,ship,as
38.t6,gegyrwan,gegyrwan,gegyrwan,v,adorn,i
39.t1,hildewǣpnum,hildewǣpnum,hilde-wæpen,n,war-weapon,dp
39.t2,ond,ond,ond,c,and,indeclinable
39.t3,"heaðowǣdum,",heaðowǣdum,heaþo-wæd,f,battle garment,dp
40.t1,billum,billum,bill,n,sword,dp
40.t2,ond,ond,ond,c,and,indeclinable
40.t3,byrnum;,byrnum,byrne,f,mail-coat,dp
40.t4,him,him,he,p,he,dsm
40.t5,on,on,on,pp,in,indeclinable
40.t6,bearme,bearme,bearm,m,bosom,ds
40.t7,læg,læg,licgan,v,lie,p3s
41.t1,mādma,mādma,maððum,m,treasure,gp
41.t2,"mænigo,",mænigo,menigeo,f,multitude,ns
41.t3,þā,þā,se,d,which,npm
41.t4,him,him,he,p,he,dsm
41.t5,mid,mid,mid,pp,with,indeclinable
41.t6,scoldon,scoldon,sculan,v,have to,p3p
42.t1,on,on,on,pp,in,indeclinable
42.t2,flōdes,flōdes,flod,m,flood,gs
42.t3,ǣht,ǣht,æht,f,power,as
42.t4,feor,feor,feor,av,far,indeclinable
42.t5,gewītan.,gewītan,gewitan,v,go,i
43.t1,Nalæs,Nalæs,nealles,av,not at all,indeclinable
43.t2,hī,hī,hie,p,they,npm
43.t3,hine,hine,he,p,he,asm
43.t4,lǣssan,lǣssan,læssa,a,fewer,dpnc
43.t5,lācum,lācum,lac,n,gift,dp
43.t6,"tēodan,",tēodan,teon,v,furnish,p3p
44.t1,"þēodgestrēonum,",þēodgestrēonum,þeod-gestreon,n,people's treasure,dp
44.t2,þonne,þonne,þonne,c,than,indeclinable
44.t3,þā,þā,se,d,that,npm
44.t4,dydon,dydon,don,v,do,p3p
45.t1,þē,þē,þe,r,who,in
45.t2,hine,hine,he,p,he,asm
45.t3,æt,æt,æt,pp,at,indeclinable
45.t4,frumsceafte,frumsceafte,frumsceaft,f,beginning,ds
45.t5,forð,forð,forð,av,forth,indeclinable
45.t6,onsendon,onsendon,onsendan,v,send,p3p
46.t1,ǣnne,ǣnne,an,a,alone,asm
46.t2,ofer,ofer,ofer,pp,over,indeclinable
46.t3,ȳðe,ȳðe,yð,f,wave,ap
46.t4,umborwesende.,umborwesende,umbor-wesende,a,as a child,asm
47.t1,Þā,Þā,þa,av,then,indeclinable
47.t2,gȳt,gȳt,gyt,av,furthermore,indeclinable
47.t3,hīe,hīe,hie,p,they,npm
47.t4,him,him,he,p,he,dsm
47.t5,āsetton,āsetton,asettan,v,place,p3p
47.t6,segen,segen,segn,m,standard,as
47.t7,gyldenne,gyldenne,gylden,a,golden,asm
48.t1,hēah,hēah,heah,a,high,asm
48.t2,ofer,ofer,ofer,pp,over,indeclinable
48.t3,"hēafod,",hēafod,heafod,n,head,as
48.t4,lēton,lēton,lætan,v,let,p3p
48.t5,holm,holm,holm,m,sea,as
48.t6,"beran,",beran,beran,v,bear,i
49.t1,gēafon,gēafon,gifan,v,give,p3p
49.t2,on,on,on,pp,to,indeclinable
49.t3,gārsecg;,gārsecg,gar-secg,m,ocean,as
49.t4,him,him,hie,p,they,dpm
49.t5,wæs,wæs,wesan,v,be,p3s
49.t6,geōmor,geōmor,geomor,a,sad,nsm
49.t7,"sefa,",sefa,sefa,m,heart,ns
50.t1,murnende,murnende,murnan,v,mourn,pprnsn
50.t2,mōd.,mōd,mod,n,mind,ns
50.t3,Men,Men,monn,m,man,np
50.t4,ne,ne,ne,av,not,indeclinable
50.t5,cunnon,cunnon,cunnan,v,can,pr3p
51.t1,secgan,secgan,secgan,v,say,i
51.t2,tō,tō,to,pp,for,indeclinable
51.t3,"sōðe,",sōðe,soð,n,truth,ds
51.t4,selerǣdende,selerǣdende,sele-rædend,m,hall-counsellor,np
52.t1,hǣleð,hǣleð,hæle,m,man,np
52.t2,under,under,under,pp,under,indeclinable
52.t3,"heofenum,",heofenum,heofon,m,heaven,dp
52.t4,hwā,hwā,hwa,p,who,nsm
52.t5,þǣm,þǣm,se,d,that,dsm
52.t6,hlæste,hlæste,hlæst,m,freight,ds
52.t7,onfēng.,onfēng,onfon,v,receive,p3s
53.t1,Ðā,Ðā,þa,av,then,indeclinable
53.t2,wæs,wæs,wesan,v,be,p3s
53.t3,on,on,on,pp,in,indeclinable
53.t4,burgum,burgum,burh,f,stronghold,dp
53.t5,Bēow,Bēow,Beow,np,Beow,ns
53.t6,"Scyldinga,",Scyldinga,Scyldingas,np,Scyldings,gp
54.t1,lēof,lēof,leof,a,beloved,nsm
54.t2,lēodcyning,lēodcyning,leod-cyning,m,king of the nation,ns
54.t3,longe,longe,long,a,long,asf
54.t4,þrāge,þrāge,þrag,f,time,as
55.t1,folcum,folcum,folc,n,people,dp
55.t2,gefrǣge,gefrǣge,gefræge,a,renowned,nsm
55.t3,– fæder,fæder,fæder,m,father,ns
55.t4,ellor,ellor,ellor,av,elsewhere,indeclinable
55.t5,"hwearf,",hwearf,hweorfan,v,go,p3s
56.t1,aldor,aldor,ealdor,m,chief,ns
56.t2,of,of,of,pp,from,indeclinable
56.t3,earde –,earde,eard,m,homeland,ds
56.t4,oþ þæt,oþ þæt,oð þæt,c,until,indeclinable
56.t5,him,him,he,p,he,dsm
56.t6,eft,eft,eft,av,afterwards,indeclinable
56.t7,onwōc,onwōc,onwæcnan,v,be born,p3s
57.t1,hēah,hēah,heah,a,high,nsm
57.t2,Healfdene;,Healfdene,Healfdene,np,Healfdene,ns
57.t3,hēold,hēold,healdan,v,rule,p3s
57.t4,þenden,þenden,þenden,c,while,indeclinable
57.t5,lifde,lifde,libban,v,live,p3s
58.t1,gamol,gamol,gamol,a,old,nsm
58.t2,ond,ond,ond,c,and,indeclinable
58.t3,gūðrēouw,gūðrēouw,guð-hreow,a,fierce in battle,nsm
58.t4,glæde,glæde,glæd,a,gracious,apm
58.t5,Scyldingas.,Scyldingas,Scyldingas,np,Scyldings,ap
59.t1,Ðǣm,Ðǣm,se,d,he,dsm
59.t2,fēower,fēower,feower,nu,four,npn
59.t3,bearn,bearn,bearn,n,child,np
59.t4,forðgerīmed,forðgerīmed,forð-gerimed,a,all told,npn
60.t1,in,in,in,pp,in,indeclinable
60.t2,worold,worold,worold,f,world,as
60.t3,wōcun,wōcun,wæcnan,v,be born,p3p
60.t4,weoroda,weoroda,werod,n,host,gp
60.t5,"rǣswan,",rǣswan,ræswa,m,leader,ds
61.t1,Heorogār,Heorogār,Heorogar,np,Heorogar,ns
61.t2,ond,ond,ond,c,and,indeclinable
61.t3,Hrōðgār,Hrōðgār,Hroðgar,np,Hrothgar,ns
61.t4,ond,ond,ond,c,and,indeclinable
61.t5,Hālga,Hālga,Halga,np,Halga,ns
61.t6,til;,til,til,a,good,nsm
62.t1,hȳrde,hȳrde,hyran,v,hear,p1s
62.t2,ic,ic,ic,p,I,ns
62.t3,þæt. . . . . .,þæt,þæt,c,that,indeclinable
62.t4,wæs,wæs,wesan,v,be,p3s
62.t5,Onelan,Onelan,Onela,np,Onela,gs
62.t6,"cwēn,",cwēn,cwen,f,queen,ns
63.t1,Heaðo-Scilfingas,Heaðo-Scilfingas,Heaþo-Scylfing,np,Battle-Scylfing,gs
63.t2,healsgebedda.,healsgebedda,heals-gebedda,f,close bedfellow,ns
64.t1,Þā,Þā,þa,av,then,indeclinable
64.t2,wæs,wæs,wesan,v,be,p3s
64.t3,Hrōðgāre,Hrōðgāre,Hroðgar,np,Hrothgar,ds
64.t4,herespēd,herespēd,here-sped,f,success in battle,ns
64.t5,"gyfen,",gyfen,gifan,v,give,pp
65.t1,wīges,wīges,wig,n,war,gs
65.t2,"weorðmynd,",weorðmynd,weorð-mynd,n,honour,ns
65.t3,þæt,þæt,þæt,c,so that,indeclinable
65.t4,him,him,he,p,he,dsm
65.t5,his,his,he,p,his,gsm
65.t6,winemāgas,winemāgas,wine-mæg,m,retainer,np
66.t1,georne,georne,georne,av,willingly,indeclinable
66.t2,"hȳrdon,",hȳrdon,hyran,v,obey,p3p
66.t3,oðð þæt,oðð þæt,oð þæt,c,until,indeclinable
66.t4,sēo,sēo,seo,d,the,nsf
66.t5,geogoð,geogoð,geogoð,f,youth,ns
66.t6,"gewēox,",gewēox,geweaxan,v,increase,p3s
67.t1,magodriht,magodriht,mago-dryht,f,young retinue,ns
67.t2,micel.,micel,micel,a,large,nsf
67.t3,Him,Him,he,p,he,dsm
67.t4,on,on,on,pp,in,indeclinable
67.t5,mōd,mōd,mod,n,mind,as
67.t6,bearn,bearn,beirnan,v,occur,p3s
68.t1,þæt,þæt,þæt,c,that,indeclinable
68.t2,healreced,healreced,heall-reced,n,hall,as
68.t3,hātan,hātan,hatan,v,order,i
68.t4,"wolde,",wolde,willan,v,would,p3s
69.t1,medoærn,medoærn,medu-ærn,n,mead-hall,as
69.t2,micel,micel,micel,a,large(r),asn
69.t3,men,men,monn,m,man,ap
69.t4,gewyrcean,gewyrcean,gewyrcan,v,build,i
70.t1,þonne,þonne,þonne,c,than,indeclinable
70.t2,yldo,yldo,ylde,m,men,gp
70.t3,bearn,bearn,bearn,n,son,np
70.t4,ǣfre,ǣfre,æfre,av,forever,indeclinable
70.t5,"gefrūnon,",gefrūnon,gefrignan,v,hear of,p3p
71.t1,ond,ond,ond,c,and,indeclinable
71.t2,þǣr,þǣr,þær,av,there,indeclinable
71.t3,on innan,on innan,on innan,av,inside,indeclinable
71.t4,eall,eall,eall,a,all,asn
71.t5,gedǣlan,gedǣlan,gedælan,v,distribute,i
72.t1,geongum,geongum,geong,a,young,dpm
72.t2,ond,ond,ond,c,and,indeclinable
72.t3,ealdum,ealdum,eald,a,old,dpm
72.t4,swylc,swylc,swylc,p,such as,asn
72.t5,him,him,he,p,he,dsm
72.t6,God,God,God,np,God,ns
72.t7,"sealde,",sealde,sellan,v,give,p3s
73.t1,būton,būton,buton,pp,except,indeclinable
73.t2,folcscare,folcscare,folc-scaru,f,nation (?) heritable land (?),ds
73.t3,ond,ond,ond,c,and,indeclinable
73.t4,feorum,feorum,feorh,m,life,dp
73.t5,gumena.,gumena,guma,m,man,gp
74.t1,Ðā,Ðā,þa,av,then,indeclinable
74.t2,ic,ic,ic,p,I,ns
74.t3,wīde,wīde,wide,av,widely,indeclinable
74.t4,gefrægn,gefrægn,gefrignan,v,hear,p1s
74.t5,weorc,weorc,weorc,n,work,as
74.t6,gebannan,gebannan,gebannan,v,order,i
75.t1,manigre,manigre,monig,a,many,dsf
75.t2,mǣgþe,mǣgþe,mægþ,f,nation,ds
75.t3,geond,geond,geond,pp,throughout,indeclinable
75.t4,þisne,þisne,þes,d,this,asm
75.t5,"middangeard,",middangeard,middan-geard,m,world,as
76.t1,folcstede,folcstede,folc-stede,m,people's place,as
76.t2,frætwan.,frætwan,frætwan,v,adorn,i
76.t3,Him,Him,he,p,he,dsm
76.t4,on,on,on,pp,in,indeclinable
76.t5,fyrste,fyrste,fyrst,m,time,ds
76.t6,"gelomp,",gelomp,gelimpan,v,come to pass,p3s
77.t1,ǣdre,ǣdre,ædre,av,swiftly,indeclinable
77.t2,mid,mid,mid,pp,among,indeclinable
77.t3,"yldum,",yldum,ylde,m,men,dp
77.t4,þæt,þæt,þæt,c,that,indeclinable
77.t5,hit,hit,hit,p,it,nsn
77.t6,wearð,wearð,weorðan,v,be,p3s
77.t7,eal,eal,eall,av,entirely,indeclinable
77.t8,"gearo,",gearo,gearo,a,ready,nsn
78.t1,healærna,healærna,heall-ærn,n,hall,gp
78.t2,mǣst;,mǣst,mæst,a,the greatest,nsns
78.t3,scōp,scōp,scyppan,v,assign,p3s
78.t4,him,him,hit,p,it,dsn
78.t5,Heort,Heort,Heorot,np,Heorot,as
78.t6,naman,naman,nama,m,name,as
79.t1,sē,sē,se,d,he,nsm
79.t2,þe,þe,þe,r,who,in
79.t3,his,his,he,p,his,gsm
79.t4,wordes,wordes,word,n,word,gs
79.t5,geweald,geweald,geweald,n,power,as
79.t6,wīde,wīde,wide,av,widely,indeclinable
79.t7,hæfde.,hæfde,habban,v,have,p3s
80.t1,Hē,Hē,he,p,he,nsm
80.t2,bēot,bēot,beot,n,vow,as
80.t3,ne,ne,ne,av,not,indeclinable
80.t4,ālēh:,ālēh,aleogan,v,fail to perform,p3s
80.t5,bēagas,bēagas,beag,m,ring,ap
80.t6,"dǣlde,",dǣlde,dælan,v,distribute,p3s
81.t1,sinc,sinc,sinc,n,treasure,as
81.t2,æt,æt,æt,pp,in,indeclinable
81.t3,symle.,symle,symbel,n,banquet,ds
81.t4,Sele,Sele,sele,m,hall,ns
81.t5,hlīfade,hlīfade,hlifian,v,tower,p3s
82.t1,hēah,hēah,heah,a,high,nsm
82.t2,ond,ond,ond,c,and,indeclinable
82.t3,horngēap;,horngēap,horn-geap,a,wide-gabled,nsm
82.t4,heaðowylma,heaðowylma,heaþo-wylm,m,surge of war,gp
82.t5,bād,bād,bidan,v,await,p3s
83.t1,lāðan,lāðan,lað,a,hostile,gsm
83.t2,līges –,līges,lig,m,fire,gs
83.t3,ne,ne,ne,av,not,indeclinable
83.t4,wæs,wæs,wesan,v,be,p3s
83.t5,hit,hit,hit,p,it,nsn
83.t6,lenge,lenge,longe,av,long,c
83.t7,þā,þā,þa,av,then,indeclinable
83.t8,gēn,gēn,gen,av,yet,indeclinable
84.t1,þæt,þæt,þæt,c,that,indeclinable
84.t2,se,se,se,d,the,nsm
84.t3,ecghete,ecghete,ecg-hete,m,sword-hate,ns
84.t4,āþumswēoran,āþumswēoran,aþum-sweoras,m,son-in-law and father-in-law,dp
85.t1,æfter,æfter,æfter,pp,after,indeclinable
85.t2,wælnīðe,wælnīðe,wæl-nið,m,deadly enmity,ds
85.t3,wæcnan,wæcnan,wæcnan,v,be born,i
85.t4,scolde.,scolde,sculan,v,should,p3s
86.t1,Ðā,Ðā,þa,av,then,indeclinable
86.t2,se,se,se,d,the,nsm
86.t3,ellengǣst,ellengǣst,ellen-gast,m,bold demon,ns
86.t4,earfoðlīce,earfoðlīce,earfoðlice,av,painfully,indeclinable
87.t1,þrāge,þrāge,þrag,f,time of distress,as
87.t2,"geþolode,",geþolode,geþolian,v,suffer,p3s
87.t3,sē,sē,se,d,he,nsm
87.t4,þe,þe,þe,r,who,in
87.t5,in,in,in,pp,in,indeclinable
87.t6,þȳstrum,þȳstrum,þystru,f,darkness,dp
87.t7,"bād,",bād,bidan,v,dwell,p3s
88.t1,þæt,þæt,þæt,c,that,indeclinable
88.t2,hē,hē,he,p,he,nsm
88.t3,dōgora,dōgora,dogor,n,day,gp
88.t4,gehwām,gehwām,gehwa,p,every,dsn
88.t5,drēam,drēam,dream,m,joy,as
88.t6,gehȳrde,gehȳrde,gehyran,v,hear,p3s
89.t1,hlūdne,hlūdne,hlud,a,loud,asm
89.t2,in,in,in,pp,in,indeclinable
89.t3,healle.,healle,heall,f,hall,ds
89.t4,Þǣr,Þǣr,þær,av,there,indeclinable
89.t5,wæs,wæs,wesan,v,be,p3s
89.t6,hearpan,hearpan,hearpe,f,harp,gs
89.t7,"swēg,",swēg,sweg,m,sound,ns
90.t1,swutol,swutol,sweotol,a,clear,nsm
90.t2,sang,sang,sang,m,song,ns
90.t3,scopes.,scopes,scop,m,poet,gs
90.t4,Sægde,Sægde,secgan,v,say,p3s
90.t5,sē,sē,se,d,he,nsm
90.t6,þe,þe,þe,r,who,in
90.t7,cūþe,cūþe,cunnan,v,can,p3s
91.t1,frumsceaft,frumsceaft,frumsceaft,f,origin,as
91.t2,fīra,fīra,firas,m,men,gp
91.t3,feorran,feorran,feorran,av,from far back,indeclinable
91.t4,"reccan,",reccan,reccan,v,recount,i
92.t1,cwæð,cwæð,cweðan,v,say,p3s
92.t2,þæt,þæt,þæt,c,that,indeclinable
92.t3,se,se,se,d,the,nsm
92.t4,ælmihtiga,ælmihtiga,ælmihtig,a,almighty,nsm
92.t5,eorðan,eorðan,eorðe,f,earth,as
92.t6,"worhte,",worhte,wyrcan,v,make,p3s
93.t1,wlitebeorhtne,wlitebeorhtne,wlite-beorht,a,shining,asm
93.t2,"wang,",wang,wong,m,plain,as
93.t3,swā,swā,swa,c,as far as,indeclinable
93.t4,wæter,wæter,wæter,n,water,ns
93.t5,"bebūgeð,",bebūgeð,bebugan,v,surround,pr3s
94.t1,gesette,gesette,gesettan,v,set,p3s
94.t2,sigehrēþig,sigehrēþig,sige-hreðig,a,victorious,nsm
94.t3,sunnan,sunnan,sunne,f,sun,as
94.t4,ond,ond,ond,c,and,indeclinable
94.t5,"mōnan,",mōnan,mona,m,moon,as
95.t1,lēoman,lēoman,leoma,m,luminary,ap
95.t2,tō,tō,to,pp,as,indeclinable
95.t3,lēohte,lēohte,leoht,n,light,ds
95.t4,"landbūendum,",landbūendum,land-buend,m,earth-dweller,dp
96.t1,ond,ond,ond,c,and,indeclinable
96.t2,gefrætwade,gefrætwade,gefrætwan,v,adorn,p3s
96.t3,foldan,foldan,folde,f,earth,gs
96.t4,scēatas,scēatas,sceat,m,region,ap
97.t1,leomum,leomum,lim,n,branch,dp
97.t2,ond,ond,ond,c,and,indeclinable
97.t3,"lēafum,",lēafum,leaf,n,leaves,dp
97.t4,līf,līf,lif,n,life,as
97.t5,ēac,ēac,eac,av,also,indeclinable
97.t6,gesceōp,gesceōp,gescyppan,v,create,p3s
